TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?
39627788335975931,215.12365289121297,0.034299359123966866,1.1207,QSO,-0.0055388860841352194,0.004684153420053063,1.9117145351084264E-5,45.07822465957489,true
39627788440830933,221.2919393742915,0.042157459337879004,1.6604333333333334,QSO,0.22700215568912396,0.019349497623018,9.600241508225197E-5,46.5297021410995,true
39627793792766127,180.42675774918737,0.30595370260335925,1.4343666666666666,QSO,0.36842651704400864,0.009550209172602242,2.9429392467215924E-5,45.77222851437973,true
39627794350605789,213.5656529030631,0.21630631932237307,1.3807,QSO,,,,44.85143240566823,true
39627794413524353,217.49471801915934,0.34842316738432466,2.02065,QSO,0.4242939117993556,0.03666288873386028,3.4168147121867256E-5,45.55077431480081,true
39627794442881092,219.08706719424146,0.16638740205063354,2.1856,QSO,0.3070483815303475,0.0,2.2579016430298394E-4,45.7217443893049,true
39627794455463055,219.80377903578676,0.16463933980878517,2.3975,QSO,0.17088655677884956,0.007933634648935109,4.6705184719953534E-5,45.5874536596693,true
39627794468049499,220.70222784376142,0.26126290696139837,1.1237,QSO,0.6432263468023767,0.0,1.5202752995708268E-5,45.88784638821879,true
39627799815782689,179.2623777331339,0.46258285097440727,1.5829,GALAXY,,,,45.26994039263737,true
39627799819979870,179.65195605936952,0.6030017935081182,1.375,QSO,-0.1393021913178969,0.0,4.895874709771524E-5,45.360375864236644,true
39627800419764279,215.32525082987485,0.545372688708612,0.6262,GALAXY,,,,44.47581381645856,true
39627800436540700,216.3043091377774,0.4818689525733012,2.6032,QSO,0.23911218519076316,0.005965000783429246,4.7252687164316084E-5,46.535489744461756,true
39627800449123412,217.04466791001462,0.4780096548877105,2.0645,QSO,-0.1831227827688756,0.0,4.341505113936765E-4,46.8616337857541,true
39627800449124088,217.069956736872,0.3816565963571295,1.3113,GALAXY,,,,45.093386411751425,true
39627800482678946,219.099228519284,0.5496070055106345,0.6685,QSO,0.41274537372101006,0.0,4.595478443362571E-5,44.42746212687744,true
39627800486875695,219.47177707798332,0.46783847957182073,2.5045,QSO,0.2988137682562979,0.016219319606987238,2.7165724602993914E-5,46.20576457692021,true
39627805373238005,150.6266709479417,0.6909971448014897,0.9608,QSO,,,,44.62080262731186,true
39627805884945779,181.2255415393776,0.6838337208811842,1.8655,QSO,0.38401304658048474,0.0,1.4540054315428579E-5,45.887273706841576,true
39627811387871229,149.2088334087773,0.8890999862272086,0.9527,GALAXY,,,,45.270568969664865,true
39627811916350444,180.54706736307912,0.9791447464215565,1.13925,QSO,0.49663583486867635,0.00780402218954169,1.1759909845979784E-5,45.448040127564454,true
39627811954098404,182.76196274397375,1.0549082723901095,2.168,QSO,0.2758115610114622,0.003982433931275324,2.6998646402678228E-5,46.31948267290953,true
39627811958295714,183.17719090210176,0.9400318565620601,1.6781,QSO,0.4170523556755834,0.016379288386865032,1.7987895529735443E-5,45.39030307717077,true
39627817930984316,179.1548066805711,1.3489445894764525,1.6399,GALAXY,,,,45.90737152648117,true
39627817935177477,179.33921757746737,1.2352561861705422,1.9413,QSO,0.2577599551412071,0.0,6.696579455992742E-5,45.44746622212663,true
39627817947759413,180.0424519742776,1.2249671423266373,1.5235,QSO,0.5398731954073679,0.0,1.8265250675250386E-5,45.5443002518937,true
39627818014869907,184.13510824511707,1.2872007403715957,1.0409,QSO,,,,44.89397881773346,true
39627830010577797,179.03706043368192,1.7373884106979665,1.5339,QSO,,,,45.48367269120444,true
39627835547063993,149.24485136952237,2.0216740247670337,1.5531,QSO,0.30461545138700163,0.01689386067378478,1.8631593641901514E-5,45.14092302343538,true
39627836704690561,218.20598941508985,2.094365504612159,0.7912,QSO,,,,44.57205428208119,true
39627836721466661,219.17069165711484,2.061248422446034,0.491,QSO,,,,43.867340134884884,true
39627836725660059,219.36274500178607,2.011269808501905,1.5651,QSO,0.5706563389577801,0.0,1.365770892512573E-5,45.48775294871054,true
39627841591051279,149.2964311906586,2.18454823333254,0.8284,QSO,1.062254633283799,0.0,4.789331077610466E-5,45.807111880852226,true
39627842727709215,217.12093500582978,2.238721765912017,1.8725,QSO,0.19017900698776113,0.0,4.1640542951256594E-5,45.56421463917503,true
39627853704203054,151.38521010662248,2.714960217191678,2.2533,QSO,0.3195095859241488,0.01305784108788142,3.339922911342574E-5,45.84893402256632,true
39627854794724221,216.4852968395742,2.647046903172949,2.02785,QSO,0.5793533193662892,0.032261321536438875,1.9507365858454095E-5,45.721919667448304,true
39627854815692616,217.57242121320255,2.693950793157133,1.74425,QSO,0.4646076413452631,0.018679107679430165,1.8816424548319844E-5,45.2941477241587,true
39627860838713568,216.62624556079348,3.066040363994517,2.2707,QSO,0.2251778729366627,0.005607571156672606,3.053348545227391E-5,45.943233293512556,true
39627860876463331,218.89485033596267,3.0416809105087084,1.4788,QSO,0.40752501670447905,0.0,1.1450713417732397E-5,45.8385922726402,true
39627865762827858,150.38930474638423,3.3623812141735865,0.4214,GALAXY,,,,44.0520859284316,true
39627865767020887,150.58170591643244,3.2470866372994456,0.7307,QSO,,,,44.788785609839465,true
39627866907871060,218.62629859440406,3.362058883955114,0.0,STAR,,,,,true
39627872809256303,210.86768103079214,3.5533907724125555,2.9126,QSO,0.06556245925307103,0.0,2.9550314392353164E-4,46.06265811072778,true
39627872926696609,217.85310989237445,3.6125075479044173,3.2544,QSO,0.3963667868560452,0.02733542720960123,7.901222859220316E-5,46.5929034434913,true
39627877838225923,150.98655965304286,3.633663849709921,1.3414,QSO,-0.08588831795868623,0.003816573736953238,2.079911852724974E-5,45.299306544505264,true
39627878958106207,217.86521846392634,3.865832005316723,2.0758,QSO,0.1695222098368423,0.1483975298298917,8.171105557055383E-5,45.77124445163415,true
39627890869931215,208.96208290326933,4.165080192392576,1.256,QSO,0.3959314070652926,0.012607485142111807,1.895220716695318E-5,44.965696541011546,true
39627890882511843,209.5920761883035,4.280704687741968,1.0546,GALAXY,,,,44.95973351420852,true
39627890895095499,210.38396995071955,4.279249057613357,1.0351,QSO,,,,44.75622749344904,true
39627890907677119,211.0627749785781,4.2393615084456435,1.3264,QSO,0.7811003074263114,0.0,4.319916279676034E-5,45.17523548276184,true
39627896901338986,209.18968034999426,4.521294235608063,1.4354,QSO,0.8435497937432308,0.0,2.854767385497483E-5,45.09087689750184,true
39627896922308899,210.34598391152517,4.407760986303246,1.5958,GALAXY,,,,45.18827759855551,true
39627902920163512,208.8402692390909,4.7857883149716365,2.2307,QSO,0.26023953145491374,0.11148707680781754,3.177306036858795E-4,45.6730712112053,true
39627902924358765,209.14885567634195,4.703866781114741,1.0271,QSO,,,,45.255310620147526,true
39627908951576509,209.5472672777106,5.102704217380047,0.8222,QSO,,,,44.897207614224996,true
39627914991373370,210.47007350176955,5.190655453611248,1.8517,QSO,0.23107921286875666,0.02537353695819321,2.5532107490427806E-5,45.29983717376558,true
39627914991375581,210.56572904344725,5.130971672205306,0.7908,GALAXY,,,,44.339454989921705,true
39627921022780497,211.17902413017262,5.449613403513448,1.4623,QSO,0.4403810957409491,0.0,1.5189704603766308E-5,45.64134225726405,true
39627921022784080,211.33338094442956,5.620045517592558,2.1555,QSO,0.4991655179321046,0.037498077577695854,2.63424420045114E-5,45.490394354079655,true
