ra,dec,designation,umag,gmag,rmag,imag,zmag,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,zsp,spCl,broad,src,ebv
9.699883,0.582658,J003847.97+003457.5,17.6,17.073,16.58,16.094,15.919,15.343,14.655,14.01,13.147,12.5,9.908,7.63,1.12,2.03,0.00,0.00,0.081,QSO,6937.5,Alp,0.271
10.556087,0.988254,J004213.46+005917.7,19.726,18.935,18.317,18.08,17.57,16.54,15.627,14.653,13.115,12.053,9.389,7.524,0.0,0.0,0.00,0.00,0.329,QSO,4848.0,Alp,0.356
10.832248,0.854257,J004319.73+005115.3,17.76,17.769,17.663,17.691,16.95,16.391,15.434,14.668,12.927,11.934,9.704,7.561,1.09,1.6,0.63,0.83,0.308,QSO,9893.2,Alp,-0.073
10.881031,-0.257587,J004331.44-001527.3,22.388,20.203,18.743,18.187,17.72,16.858,15.667,14.421,13.27,12.34,9.74,7.387,0.0,0.0,0.00,0.00,0.294,redQSO,2665.7,w2m,0.406
10.921886,0.881474,J004341.25+005253.3,21.991,20.505,19.451,18.671,17.955,16.229,15.481,14.424,12.593,11.272,8.525,6.495,0.0,0.0,0.00,0.00,0.828,redQSO,8798.0,B,0.668
11.542911,1.112214,J004610.29+010643.9,19.583,18.522,17.635,17.136,16.926,16.07,15.353,14.431,13.603,12.685,9.421,6.8,1.18,1.0,0.83,0.00,0.216,QSO,2273.7,B-gal,0.193
12.593920,0.157692,J005022.54+000927.6,18.35,17.697,17.221,16.805,16.704,15.97,15.304,14.646,13.934,13.264,9.982,7.398,0.0,0.0,0.00,0.00,0.135,QSO,3462.3,B-gal,-0.075
13.023198,0.593927,J005205.56+003538.1,17.12,16.648,16.35,16.12,15.772,14.865,14.534,14.035,12.909,12.052,9.074,6.346,81.46,87.95,50.37,51.62,0.400,QSO,2013.4,B,0.186
14.772986,0.114328,J005905.51+000651.5,17.791,17.492,17.506,17.584,17.437,16.277,15.941,14.661,13.312,12.144,9.326,6.773,2324.98,2415.95,0.00,0.00,0.719,QSO,3324.8,B,-0.026
15.356145,0.007608,J010125.47+000027.3,18.19,17.791,17.276,16.651,16.574,15.766,14.963,14.179,13.583,12.687,9.89,7.608,0.0,0.0,0.00,0.00,0.110,QSO,6181.5,B-gal,-0.271
