TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,L6_Z_MATCH_BIN,144_LUM,EDR?
39628351605836785,193.57439095381812,24.08781638031314,1.4579940092214447,QSO,-0.031800965655211566,0.0052591103813910065,2.5252768514114612E-5,45.46228560099308,,0.0,true
39628351610028390,193.68076431399552,23.88943160220501,2.174871363412447,QSO,0.19641101177415077,0.05171720718379593,9.10914386715155E-5,45.91910724876158,,0.0,true
39628351610030133,193.7870172735975,23.904614853644087,1.729859921811799,QSO,0.06064705933720427,0.015843566385037505,4.709015566020448E-5,45.35602047079137,,0.0,true
39628351610031582,193.87622845354434,23.992741567859944,2.277023035086865,QSO,0.12963136581691004,0.01564081296919492,4.067156664343235E-5,45.87800257947829,,0.0,true
39628351614223028,193.96126704193196,24.04899908059289,1.9822143280215645,QSO,-0.04738776300795572,0.0,4.74073145092343E-5,45.60227372335553,,0.0,true
39628351614225796,194.12069655632257,24.06945329165194,2.1064121141922514,QSO,0.024570765207435064,0.014446087845112974,6.476311296884668E-5,45.855745960761254,,0.0,true
39628351618417471,194.25325617706795,24.001656936339014,2.1056060812967305,QSO,0.009823047810546104,0.030590352479406245,9.38962741353534E-5,46.024467171364606,,0.0,true
39628351618421793,194.46954258319997,24.079475766456124,0.5145046551863496,QSO,0.14136720104654377,0.004777960918104557,1.9795782529089225E-5,43.99729312253215,,0.0,true
39628351622611247,194.4939471448206,23.884508453028023,1.4359127122378852,QSO,-5.85503291161027E-4,0.00687643149246897,2.5374201760867712E-5,45.045021610671995,,0.0,true
39628351622611392,194.50097315202854,24.03931275854777,0.9664129667525095,QSO,-0.035383399375608415,0.01574522818558425,1.89293711573755E-5,44.740350254149796,,0.0,true
39628351622615199,194.70708174933975,23.983122894698486,1.7024820982472435,QSO,0.12282561610991727,0.007938088970436961,4.7773352679954514E-5,45.31043657827529,,2.4664389670354595E24,true
39628351626805884,194.78193306529653,23.887966093847172,2.0399920163095135,QSO,0.057010484447322596,0.003795054520565859,4.3784569455214875E-5,45.55024259247208,,0.0,true
39628351626808343,194.93561807582145,24.118994578497226,2.15065,QSO,0.4350732153569239,0.017127868249057862,2.3306772611848048E-5,46.21983471267535,,5.542452792965954E25,true
39628351630999669,195.02811591237128,23.87613789059157,1.3497387445916087,QSO,-0.0042581952394447065,0.0027576110100279196,2.957821563879481E-5,45.571651504788235,1,2.2479598007596805E24,true
